model_name,model_file,scaler_file,created_at,feature_columns,num_features,oob_score,train_overall_rmse,train_overall_mae,train_overall_r2,train_overall_accuracy_10,train_overall_accuracy_15,train_24h_rmse,train_24h_mae,train_24h_r2,train_24h_accuracy_10,train_24h_accuracy_15,train_48h_rmse,train_48h_mae,train_48h_r2,train_48h_accuracy_10,train_48h_accuracy_15,train_72h_rmse,train_72h_mae,train_72h_r2,train_72h_accuracy_10,train_72h_accuracy_15,test_overall_rmse,test_overall_mae,test_overall_r2,test_overall_accuracy_10,test_overall_accuracy_15,test_24h_rmse,test_24h_mae,test_24h_r2,test_24h_accuracy_10,test_24h_accuracy_15,test_48h_rmse,test_48h_mae,test_48h_r2,test_48h_accuracy_10,test_48h_accuracy_15,test_72h_rmse,test_72h_mae,test_72h_r2,test_72h_accuracy_10,test_72h_accuracy_15,best_alpha,cv_score,sequence_length,epochs_trained,final_train_loss,final_val_loss,best_val_loss,improvement_pct,train_samples,test_samples,batch_size
RandomForest_MultiOutput,RandomForest_MultiOutput_20250816_1638.joblib,,20250816_1638,"aqi,pm25,temperature,humidity,pressure,wind_speed,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_6,aqi_lag_12,aqi_lag_24,pm25_lag_1,pm25_lag_6,pm25_lag_12,pm25_lag_24,temperature_lag_6,temperature_lag_12,humidity_lag_6,humidity_lag_12,humidity_lag_24,wind_speed_lag_1,wind_speed_lag_6,wind_speed_lag_12,wind_speed_lag_24,aqi_rolling_mean_6,aqi_rolling_std_6,aqi_rolling_max_6,aqi_rolling_min_6,aqi_rolling_mean_12,aqi_rolling_std_12,aqi_rolling_max_12,aqi_rolling_min_12,aqi_rolling_mean_24,aqi_rolling_std_24,aqi_rolling_max_24,aqi_rolling_min_24,pm25_rolling_mean_6,pm25_rolling_std_6,pm25_rolling_min_6,pm25_rolling_mean_12,pm25_rolling_std_12,pm25_rolling_max_12,pm25_rolling_min_12,pm25_rolling_mean_24,pm25_rolling_std_24,temperature_rolling_std_6,temperature_rolling_std_12,temperature_rolling_std_24,humidity_rolling_std_6,humidity_rolling_std_12,humidity_rolling_max_12,humidity_rolling_min_12,humidity_rolling_mean_24,humidity_rolling_std_24,humidity_rolling_max_24,humidity_rolling_min_24,wind_speed_rolling_mean_6,wind_speed_rolling_std_6,wind_speed_rolling_max_6,wind_speed_rolling_min_6,wind_speed_rolling_mean_12,wind_speed_rolling_std_12,wind_speed_rolling_max_12,wind_speed_rolling_min_12,wind_speed_rolling_mean_24,wind_speed_rolling_std_24,wind_speed_rolling_max_24,wind_speed_rolling_min_24,pressure_rolling_std_6,pressure_rolling_std_12,pressure_rolling_std_24,aqi_change_rate,wind_chill",77,0.398538053307693,20.929343353436654,12.610556399036154,0.8718188558001541,0.5172011711435672,0.7152231641303237,20.66871090199208,12.301088528203136,0.8744063102329561,0.5316617301603513,0.730134817689715,20.963457007912368,12.68817503765084,0.8713258789681435,0.5125625574507201,0.7133336737820447,21.153016322629096,12.842405631254488,0.8697243781993625,0.5073792258196302,0.7022010009192116,45.509886633792775,25.325920663336447,0.410266200236027,0.279854302832244,0.4089733115468409,45.7157484492662,25.12903807109269,0.4135257681000223,0.2905433006535948,0.4227941176470588,45.87946022700582,25.309421350314143,0.4040873581287491,0.2838031045751634,0.4094158496732026,44.928774936158845,25.5393025686025,0.4131854744793096,0.2652165032679738,0.3947099673202614,,,,,,,,,,,
Ridge_MultiOutput,Ridge_MultiOutput_20250816_1638.joblib,scaler_Ridge_MultiOutput_20250816_1638.joblib,20250816_1638,"aqi,pm25,temperature,humidity,pressure,wind_speed,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_6,aqi_lag_12,aqi_lag_24,pm25_lag_1,pm25_lag_6,pm25_lag_12,pm25_lag_24,temperature_lag_6,temperature_lag_12,humidity_lag_6,humidity_lag_12,humidity_lag_24,wind_speed_lag_1,wind_speed_lag_6,wind_speed_lag_12,wind_speed_lag_24,aqi_rolling_mean_6,aqi_rolling_std_6,aqi_rolling_max_6,aqi_rolling_min_6,aqi_rolling_mean_12,aqi_rolling_std_12,aqi_rolling_max_12,aqi_rolling_min_12,aqi_rolling_mean_24,aqi_rolling_std_24,aqi_rolling_max_24,aqi_rolling_min_24,pm25_rolling_mean_6,pm25_rolling_std_6,pm25_rolling_min_6,pm25_rolling_mean_12,pm25_rolling_std_12,pm25_rolling_max_12,pm25_rolling_min_12,pm25_rolling_mean_24,pm25_rolling_std_24,temperature_rolling_std_6,temperature_rolling_std_12,temperature_rolling_std_24,humidity_rolling_std_6,humidity_rolling_std_12,humidity_rolling_max_12,humidity_rolling_min_12,humidity_rolling_mean_24,humidity_rolling_std_24,humidity_rolling_max_24,humidity_rolling_min_24,wind_speed_rolling_mean_6,wind_speed_rolling_std_6,wind_speed_rolling_max_6,wind_speed_rolling_min_6,wind_speed_rolling_mean_12,wind_speed_rolling_std_12,wind_speed_rolling_max_12,wind_speed_rolling_min_12,wind_speed_rolling_mean_24,wind_speed_rolling_std_24,wind_speed_rolling_max_24,wind_speed_rolling_min_24,pressure_rolling_std_6,pressure_rolling_std_12,pressure_rolling_std_24,aqi_change_rate,wind_chill",77,,46.59790736451741,27.22334652910259,0.3646031926857005,0.2450379600313212,0.3630545058386953,46.03858248873054,26.5936698846034,0.3768610116013139,0.2506128076805229,0.3715912572770912,46.61700853767523,27.37372801543174,0.3637113039451445,0.2431569809008273,0.3599734450005106,47.13171278113184,27.702641687272635,0.3532372625106431,0.2413440915126136,0.3575988152384843,47.00524824748258,27.459170491191173,0.3708235598395828,0.2407066993464052,0.3586260893246187,46.977398826584185,26.93937407888495,0.3807083872838944,0.2505106209150327,0.3717320261437908,47.49138976625392,27.57924387270191,0.36147815956878,0.2443831699346405,0.362234477124183,46.54215278626668,27.858893521986666,0.3702841326660738,0.2272263071895424,0.3419117647058823,10.0,0.3617603372917582,,,,,,,,,
XGBoost_MultiOutput,XGBoost_MultiOutput_20250816_1638.joblib,,20250816_1638,"aqi,pm25,temperature,humidity,pressure,wind_speed,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_6,aqi_lag_12,aqi_lag_24,pm25_lag_1,pm25_lag_6,pm25_lag_12,pm25_lag_24,temperature_lag_6,temperature_lag_12,humidity_lag_6,humidity_lag_12,humidity_lag_24,wind_speed_lag_1,wind_speed_lag_6,wind_speed_lag_12,wind_speed_lag_24,aqi_rolling_mean_6,aqi_rolling_std_6,aqi_rolling_max_6,aqi_rolling_min_6,aqi_rolling_mean_12,aqi_rolling_std_12,aqi_rolling_max_12,aqi_rolling_min_12,aqi_rolling_mean_24,aqi_rolling_std_24,aqi_rolling_max_24,aqi_rolling_min_24,pm25_rolling_mean_6,pm25_rolling_std_6,pm25_rolling_min_6,pm25_rolling_mean_12,pm25_rolling_std_12,pm25_rolling_max_12,pm25_rolling_min_12,pm25_rolling_mean_24,pm25_rolling_std_24,temperature_rolling_std_6,temperature_rolling_std_12,temperature_rolling_std_24,humidity_rolling_std_6,humidity_rolling_std_12,humidity_rolling_max_12,humidity_rolling_min_12,humidity_rolling_mean_24,humidity_rolling_std_24,humidity_rolling_max_24,humidity_rolling_min_24,wind_speed_rolling_mean_6,wind_speed_rolling_std_6,wind_speed_rolling_max_6,wind_speed_rolling_min_6,wind_speed_rolling_mean_12,wind_speed_rolling_std_12,wind_speed_rolling_max_12,wind_speed_rolling_min_12,wind_speed_rolling_mean_24,wind_speed_rolling_std_24,wind_speed_rolling_max_24,wind_speed_rolling_min_24,pressure_rolling_std_6,pressure_rolling_std_12,pressure_rolling_std_24,aqi_change_rate,wind_chill",77,,25.97913756033688,16.546613693237305,0.8024868965148926,0.4093725530248868,0.580116093010588,25.85897202607457,16.3692294917449,0.8034090366583958,0.4188795832907772,0.5879379021550404,26.207386908496595,16.68277721241392,0.7988996406038551,0.4043509345317128,0.575937085078133,25.869542397033097,16.587830063125693,0.8051519611842295,0.4048871412521703,0.5764732917985905,45.61628234352017,24.90904426574707,0.407576322555542,0.2956495098039216,0.4320533769063181,46.035578984705616,24.938490733991262,0.4052910346167858,0.2986111111111111,0.4356617647058823,46.00830999638672,24.97467395410039,0.400735486652553,0.2954452614379085,0.4330065359477124,44.79393639529916,24.81397122144699,0.4167024401961656,0.2928921568627451,0.4274918300653594,,,,,,,,,,,
LSTM_Improved_MultiOutput,LSTM_Improved_MultiOutput_20250816_1647.joblib,,20250816_1647,"aqi,pm25,temperature,humidity,pressure,wind_speed,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_6,aqi_lag_12,aqi_lag_24,pm25_lag_1,pm25_lag_6,pm25_lag_12,pm25_lag_24,temperature_lag_6,temperature_lag_12,humidity_lag_6,humidity_lag_12,humidity_lag_24,wind_speed_lag_1,wind_speed_lag_6,wind_speed_lag_12,wind_speed_lag_24,aqi_rolling_mean_6,aqi_rolling_std_6,aqi_rolling_max_6,aqi_rolling_min_6,aqi_rolling_mean_12,aqi_rolling_std_12,aqi_rolling_max_12,aqi_rolling_min_12,aqi_rolling_mean_24,aqi_rolling_std_24,aqi_rolling_max_24,aqi_rolling_min_24,pm25_rolling_mean_6,pm25_rolling_std_6,pm25_rolling_min_6,pm25_rolling_mean_12,pm25_rolling_std_12,pm25_rolling_max_12,pm25_rolling_min_12,pm25_rolling_mean_24,pm25_rolling_std_24,temperature_rolling_std_6,temperature_rolling_std_12,temperature_rolling_std_24,humidity_rolling_std_6,humidity_rolling_std_12,humidity_rolling_max_12,humidity_rolling_min_12,humidity_rolling_mean_24,humidity_rolling_std_24,humidity_rolling_max_24,humidity_rolling_min_24,wind_speed_rolling_mean_6,wind_speed_rolling_std_6,wind_speed_rolling_max_6,wind_speed_rolling_min_6,wind_speed_rolling_mean_12,wind_speed_rolling_std_12,wind_speed_rolling_max_12,wind_speed_rolling_min_12,wind_speed_rolling_mean_24,wind_speed_rolling_std_24,wind_speed_rolling_max_24,wind_speed_rolling_min_24,pressure_rolling_std_6,pressure_rolling_std_12,pressure_rolling_std_24,aqi_change_rate,wind_chill",77,,49.676318022430216,30.6470947265625,0.2779940664768219,0.2593737229260319,0.36549005585070155,49.12482668722883,30.013795989262213,0.290635815683859,0.26440539436044136,0.3731610134859011,49.33028152586592,30.046102655922873,0.28759542178872766,0.2642010625255415,0.3728289742541888,50.56220366593629,31.881643618570816,0.25572869524367925,0.2495147118921128,0.35048017981201474,50.859792625013476,31.690271377563477,0.2637759745121002,0.25279481935923653,0.3538173142467621,51.04856055789081,31.495292230617782,0.26919296565175777,0.2549079754601227,0.35930470347648263,50.681523900068846,30.94265445092948,0.2733777673172618,0.2625766871165644,0.3652351738241309,50.84866615301154,32.63287347820883,0.24875154757155848,0.2408997955010225,0.3369120654396728,,,12.0,26.0,0.011521960608661175,0.011304952204227448,0.011161962524056435,2.2301518104086258,39152.0,9780.0,32.0
